Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		67509	108400		3.234	
		67563	108500		3.352	
		67615	108600		3.26	
		67660	108700		3.258	
		67712	108800		3.377	
		67756	108900		3.478	
		67810	109000		3.46	
		67849	109100		3.331	
		67898	109200		3.29	
		67950	109300		3.27	
		68010	109400		3.264	
		68056	109500		3.26	
		68104	109600		3.246	
		68146	109700		3.193	
		68192	109800		3.025	
		68248	109900		3.015	
		68295	110000		3.009	
		68345	110100		3.051	
		68396	110200		3.021	
		68452	110300		3.029	
		68498	110400		2.991	
		68545	110500		2.91	
		68579	110600		2.953	
		68625	110700		2.926	
		68675	110800		2.928	
		68731	110900		2.949	
		68777	111000		2.909	
		68830	111100		3.026	
		68877	111200		3.059	
		68930	111300		2.996	
		68979	111400		2.954	
		69025	111500		2.997	
		69076	111600		3.012	
		69119	111700		3.03	
		69162	111800		2.988	
		69213	111900		2.991	
		69256	112000		2.996	
		69304	112100		2.84	
		69349	112200		2.818	
		69397	112300		2.81	
		69441	112400		2.902	
		69489	112500		2.909	
		69535	112600		2.855	
		69579	112700		2.904	
		69634	112800		3.055	
		69687	112900		3.038	
		69745	113000		3.114	
		69785	113100		3.137	
		69828	113200		3.12	
		69879	113300		3.17	
		69923	113400		3.063	
		69972	113500		3.038	
		70015	113600		3.071	
		70056	113700		3.014	
		70099	113800		2.88	
		70150	113900		2.843	
		70197	114000		2.718	
		70249	114100		2.725	
		70296	114200		2.735	
		70339	114300		2.662	
		70393	114400		2.744	
		70435	114500		2.723	
		70482	114600		2.766	
		70534	114700		2.889	
		70597	114800		3.027	
		70643	114900		2.993	
